IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.9.207.38,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,55799,IPTELECOM ASIA,981,4.08
8.210.41.54,34237,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",182,4.03
8.210.203.171,34237,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",174,3.99
222.101.89.155,23082,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,316,3.97
61.251.233.163,30015,TRUE,ICN,KR,Asia Pacific,Seoul,9689,SK Broadband Co Ltd,287,3.73
115.94.177.42,30063,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,316,3.73
124.156.139.192,1301,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",206,3.72
8.218.22.210,2053,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",195,3.63
47.242.196.67,42853,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",178,3.57
116.47.165.149,30064,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,288,3.55
49.165.150.206,19455,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,335,3.52
27.115.117.197,31991,TRUE,HKG,HK,Asia Pacific,Hong Kong,17621,China Unicom Shanghai network,657,3.48
58.125.118.230,32741,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,371,3.41
14.7.193.207,23586,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,329,3.36
49.169.247.15,25985,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,383,3.27
8.217.85.212,21297,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",191,2.97
43.154.74.39,30958,TRUE,HKG,HK,Asia Pacific,Hong Kong,132203,"Tencent Building, Kejizhongyi Avenue",176,2.92
128.134.19.45,34769,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,312,2.84
61.92.99.224,27244,TRUE,HKG,HK,Asia Pacific,Hong Kong,9269,Hong Kong Broadband Network Ltd.,525,2.57
49.142.147.27,29530,TRUE,KIX,JP,Asia Pacific,Osaka,9319,HCN CHUNGBUK CABLE TV SYSTEMS,616,2.53
112.166.222.247,13814,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,328,2.49
27.115.117.197,29342,TRUE,HKG,HK,Asia Pacific,Hong Kong,17621,China Unicom Shanghai network,643,2.48
49.165.150.206,26799,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,336,2.47
49.142.147.27,31883,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,223,2.36
49.142.147.27,20164,TRUE,KIX,JP,Asia Pacific,Osaka,9319,HCN CHUNGBUK CABLE TV SYSTEMS,637,2.28
45.8.186.188,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,61112,AKILE LTD,672,2.00
123.202.83.184,39996,TRUE,HKG,HK,Asia Pacific,Hong Kong,9269,Hong Kong Broadband Network Ltd.,501,1.99
118.131.166.194,10932,TRUE,ICN,KR,Asia Pacific,Seoul,3786,LG DACOM Corporation,336,1.97
111.65.176.140,38487,TRUE,ICN,KR,Asia Pacific,Seoul,17573,SK Broadband Co Ltd,373,1.97
211.205.225.238,11326,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,301,1.92
103.137.63.37,46832,TRUE,HKG,HK,Asia Pacific,Hong Kong,131642,"Pittqiao Network Information Co.,Ltd.",392,1.81
103.137.63.37,56571,TRUE,HKG,HK,Asia Pacific,Hong Kong,131642,"Pittqiao Network Information Co.,Ltd.",469,1.70
111.65.134.201,30588,TRUE,ICN,KR,Asia Pacific,Seoul,17573,SK Broadband Co Ltd,371,1.64
