IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.122.55,8443,8443,true,HKG,Asia Pacific,Hong Kong,115,13.04
47.245.55.94,2095,2095,false,NRT,Asia Pacific,Tokyo,75,13.03
8.218.136.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,13.02
47.237.19.161,8443,8443,true,SIN,Asia Pacific,Singapore,125,13.02
8.219.253.185,8080,8080,false,SIN,Asia Pacific,Singapore,21,13.02
8.219.82.35,2052,2052,false,SIN,Asia Pacific,Singapore,4,13.02
47.74.34.135,2052,2052,false,NRT,Asia Pacific,Tokyo,103,13.02
47.74.12.139,2053,2053,true,NRT,Asia Pacific,Tokyo,146,13.02
47.236.192.198,2096,2096,true,SIN,Asia Pacific,Singapore,111,13.02
47.236.172.95,8443,8443,true,HKG,Asia Pacific,Hong Kong,171,13.02
47.236.94.109,8443,8443,true,SIN,Asia Pacific,Singapore,67,13.01
47.245.58.175,2083,2083,true,NRT,Asia Pacific,Tokyo,290,13.01
8.222.164.44,2082,2082,false,SIN,Asia Pacific,Singapore,9,13.01
47.245.30.208,2096,2096,true,NRT,Asia Pacific,Tokyo,345,13.01
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,17,13.01
47.236.96.141,2083,2083,true,SIN,Asia Pacific,Singapore,99,13.01
47.236.71.226,2052,2052,false,SIN,Asia Pacific,Singapore,30,13.01
8.219.106.156,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,13.00
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,12,13.00
47.236.78.57,8443,8443,true,SIN,Asia Pacific,Singapore,80,13.00
8.222.224.17,2052,2052,false,SIN,Asia Pacific,Singapore,24,13.00
47.236.146.249,443,443,true,SIN,Asia Pacific,Singapore,109,13.00
8.222.168.155,80,80,false,SIN,Asia Pacific,Singapore,19,13.00
8.219.241.189,80,80,false,SIN,Asia Pacific,Singapore,30,12.99
8.222.137.178,2082,2082,false,SIN,Asia Pacific,Singapore,20,12.99
8.219.140.229,443,443,true,SIN,Asia Pacific,Singapore,76,12.99
47.74.52.104,80,80,false,NRT,Asia Pacific,Tokyo,97,12.99
47.236.193.208,2082,2082,false,SIN,Asia Pacific,Singapore,42,12.99
47.236.97.111,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.99
47.236.106.234,8443,8443,true,SIN,Asia Pacific,Singapore,97,12.99
8.222.180.86,2083,2083,true,SIN,Asia Pacific,Singapore,52,12.98
8.219.56.205,2052,2052,false,SIN,Asia Pacific,Singapore,16,12.98
47.236.175.189,80,80,false,SIN,Asia Pacific,Singapore,36,12.98
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,4,12.98
47.74.16.255,80,80,false,NRT,Asia Pacific,Tokyo,296,12.98
47.236.65.177,2095,2095,false,SIN,Asia Pacific,Singapore,27,12.97
8.218.207.169,8443,8443,true,HKG,Asia Pacific,Hong Kong,96,12.97
8.219.82.35,2086,2086,false,SIN,Asia Pacific,Singapore,7,12.97
47.74.13.239,8080,8080,false,NRT,Asia Pacific,Tokyo,83,12.96
47.74.41.136,8443,8443,true,NRT,Asia Pacific,Tokyo,282,12.96
47.236.88.134,8443,8443,true,SIN,Asia Pacific,Singapore,64,12.96
8.219.113.232,2083,2083,true,SIN,Asia Pacific,Singapore,154,12.96
8.219.167.113,2053,2053,true,SIN,Asia Pacific,Singapore,147,12.96
47.236.97.111,2053,2053,true,SIN,Asia Pacific,Singapore,115,12.96
8.219.63.66,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,12.96
8.222.221.197,2095,2095,false,SIN,Asia Pacific,Singapore,7,12.96
8.218.188.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,12.96
8.222.244.123,2053,2053,true,SIN,Asia Pacific,Singapore,31,12.95
47.74.4.47,8443,8443,true,NRT,Asia Pacific,Tokyo,380,12.95
8.219.167.65,2087,2087,true,SIN,Asia Pacific,Singapore,68,12.95
47.236.103.153,2053,2053,true,SIN,Asia Pacific,Singapore,73,12.95
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,96,12.94
8.222.145.164,2096,2096,true,HKG,Asia Pacific,Hong Kong,124,12.94
8.219.92.89,2087,2087,true,SIN,Asia Pacific,Singapore,81,12.94
8.219.196.24,2087,2087,true,SIN,Asia Pacific,Singapore,133,12.94
8.222.133.247,2053,2053,true,SIN,Asia Pacific,Singapore,104,12.94
8.219.147.58,2096,2096,true,SIN,Asia Pacific,Singapore,89,12.94
8.222.212.116,8880,8880,false,SIN,Asia Pacific,Singapore,4,12.94
47.74.26.131,2087,2087,true,NRT,Asia Pacific,Tokyo,106,12.93
47.245.113.12,2095,2095,false,SIN,Asia Pacific,Singapore,5,12.93
47.74.27.151,2082,2082,false,NRT,Asia Pacific,Tokyo,70,12.93
8.219.53.142,8080,8080,false,SIN,Asia Pacific,Singapore,5,12.93
8.219.255.171,2052,2052,false,SIN,Asia Pacific,Singapore,33,12.93
8.219.161.129,2095,2095,false,SIN,Asia Pacific,Singapore,16,12.93
8.219.82.35,443,443,true,SIN,Asia Pacific,Singapore,133,12.93
47.245.29.64,2096,2096,true,NRT,Asia Pacific,Tokyo,96,12.92
8.222.141.240,2096,2096,true,SIN,Asia Pacific,Singapore,105,12.92
8.219.171.6,2087,2087,true,SIN,Asia Pacific,Singapore,122,12.92
47.74.26.131,8443,8443,true,NRT,Asia Pacific,Tokyo,359,12.92
8.219.51.211,2052,2052,false,SIN,Asia Pacific,Singapore,12,12.92
47.245.115.6,2095,2095,false,SIN,Asia Pacific,Singapore,5,12.92
8.222.249.98,2087,2087,true,SIN,Asia Pacific,Singapore,55,12.91
47.236.227.21,2053,2053,true,SIN,Asia Pacific,Singapore,101,12.91
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,16,12.91
47.245.57.38,2052,2052,false,SIN,Asia Pacific,Singapore,271,12.91
47.245.113.75,2052,2052,false,SIN,Asia Pacific,Singapore,4,12.90
47.236.125.4,8880,8880,false,SIN,Asia Pacific,Singapore,10,12.90
8.219.84.102,2087,2087,true,SIN,Asia Pacific,Singapore,91,12.90
8.222.188.56,2087,2087,true,SIN,Asia Pacific,Singapore,66,12.90
47.245.12.38,8880,8880,false,NRT,Asia Pacific,Tokyo,187,12.90
47.236.168.17,80,80,false,SIN,Asia Pacific,Singapore,19,12.90
8.219.142.191,2096,2096,true,SIN,Asia Pacific,Singapore,99,12.89
8.219.142.229,2082,2082,false,SIN,Asia Pacific,Singapore,13,12.89
8.222.147.203,2087,2087,true,SIN,Asia Pacific,Singapore,137,12.89
47.236.109.115,2087,2087,true,SIN,Asia Pacific,Singapore,43,12.89
8.219.90.87,2052,2052,false,SIN,Asia Pacific,Singapore,9,12.89
47.236.161.110,8880,8880,false,SIN,Asia Pacific,Singapore,40,12.89
47.74.13.200,2082,2082,false,NRT,Asia Pacific,Tokyo,81,12.88
8.222.222.64,2087,2087,true,SIN,Asia Pacific,Singapore,89,12.88
8.219.4.122,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.88
8.218.156.91,2096,2096,true,HKG,Asia Pacific,Hong Kong,111,12.88
47.245.33.163,8080,8080,false,NRT,Asia Pacific,Tokyo,118,12.87
8.222.214.13,2095,2095,false,SIN,Asia Pacific,Singapore,8,12.87
47.245.26.167,2083,2083,true,NRT,Asia Pacific,Tokyo,127,12.87
8.219.74.35,8880,8880,false,SIN,Asia Pacific,Singapore,38,12.86
47.74.26.196,2052,2052,false,HKG,Asia Pacific,Hong Kong,244,12.86
47.236.103.153,2096,2096,true,SIN,Asia Pacific,Singapore,43,12.86
8.219.206.53,2082,2082,false,SIN,Asia Pacific,Singapore,28,12.86
47.236.169.15,2053,2053,true,SIN,Asia Pacific,Singapore,213,12.85
8.219.240.160,2086,2086,false,SIN,Asia Pacific,Singapore,15,12.85
8.219.218.21,8443,8443,true,SIN,Asia Pacific,Singapore,99,12.85
8.219.156.148,2053,2053,true,SIN,Asia Pacific,Singapore,82,12.85
8.219.114.201,2052,2052,false,SIN,Asia Pacific,Singapore,11,12.85
47.236.164.215,2086,2086,false,SIN,Asia Pacific,Singapore,20,12.85
47.237.70.15,8443,8443,true,SIN,Asia Pacific,Singapore,204,12.85
8.219.84.214,2052,2052,false,SIN,Asia Pacific,Singapore,6,12.85
8.219.201.174,80,80,false,SIN,Asia Pacific,Singapore,15,12.84
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,12.84
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,84,12.84
8.219.218.21,2096,2096,true,SIN,Asia Pacific,Singapore,145,12.83
8.222.184.198,8443,8443,true,SIN,Asia Pacific,Singapore,102,12.83
8.219.65.191,2087,2087,true,SIN,Asia Pacific,Singapore,204,12.83
47.236.156.14,2096,2096,true,SIN,Asia Pacific,Singapore,106,12.83
8.222.187.107,80,80,false,SIN,Asia Pacific,Singapore,16,12.83
47.236.7.13,2086,2086,false,HKG,Asia Pacific,Hong Kong,62,12.83
47.236.155.170,80,80,false,SIN,Asia Pacific,Singapore,21,12.83
8.222.130.219,2095,2095,false,SIN,Asia Pacific,Singapore,8,12.83
47.74.11.219,80,80,false,NRT,Asia Pacific,Tokyo,77,12.83
8.219.106.15,2053,2053,true,SIN,Asia Pacific,Singapore,84,12.83
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,265,12.83
8.222.164.44,2087,2087,true,SIN,Asia Pacific,Singapore,120,12.83
47.236.249.41,8443,8443,true,SIN,Asia Pacific,Singapore,61,12.83
47.236.172.95,2083,2083,true,SIN,Asia Pacific,Singapore,165,12.82
47.236.147.146,2082,2082,false,SIN,Asia Pacific,Singapore,24,12.82
8.222.254.91,8880,8880,false,SIN,Asia Pacific,Singapore,5,12.82
8.219.58.64,2052,2052,false,SIN,Asia Pacific,Singapore,8,12.82
47.74.54.145,2086,2086,false,NRT,Asia Pacific,Tokyo,255,12.82
47.236.94.109,2086,2086,false,SIN,Asia Pacific,Singapore,12,12.82
47.236.23.135,80,80,false,SIN,Asia Pacific,Singapore,14,12.82
8.222.168.24,2082,2082,false,SIN,Asia Pacific,Singapore,108,12.81
8.222.144.219,8443,8443,true,SIN,Asia Pacific,Singapore,147,12.81
47.74.27.151,8880,8880,false,NRT,Asia Pacific,Tokyo,224,12.81
47.74.12.139,8443,8443,true,NRT,Asia Pacific,Tokyo,94,12.81
47.236.7.246,8080,8080,false,SIN,Asia Pacific,Singapore,19,12.80
47.236.79.87,80,80,false,SIN,Asia Pacific,Singapore,18,12.80
47.245.37.12,2082,2082,false,NRT,Asia Pacific,Tokyo,79,12.79
47.245.37.41,2096,2096,true,NRT,Asia Pacific,Tokyo,97,12.79
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,33,12.79
47.74.26.131,2053,2053,true,NRT,Asia Pacific,Tokyo,399,12.78
8.222.184.198,2095,2095,false,SIN,Asia Pacific,Singapore,4,12.78
8.209.212.5,8443,8443,true,NRT,Asia Pacific,Tokyo,176,12.78
8.219.90.32,2096,2096,true,SIN,Asia Pacific,Singapore,129,12.78
8.219.13.143,2053,2053,true,SIN,Asia Pacific,Singapore,49,12.78
47.245.30.65,80,80,false,NRT,Asia Pacific,Tokyo,73,12.77
8.219.61.52,2052,2052,false,SIN,Asia Pacific,Singapore,8,12.77
8.219.12.152,2087,2087,true,HKG,Asia Pacific,Hong Kong,114,12.77
8.219.42.72,2087,2087,true,SIN,Asia Pacific,Singapore,165,12.77
8.222.219.252,2053,2053,true,SIN,Asia Pacific,Singapore,54,12.77
8.219.137.50,8443,8443,true,SIN,Asia Pacific,Singapore,113,12.77
47.236.83.196,2082,2082,false,SIN,Asia Pacific,Singapore,18,12.77
47.74.26.131,8880,8880,false,NRT,Asia Pacific,Tokyo,73,12.77
47.74.39.194,2087,2087,true,NRT,Asia Pacific,Tokyo,299,12.76
8.219.140.229,2086,2086,false,SIN,Asia Pacific,Singapore,20,12.76
8.219.60.130,8443,8443,true,SIN,Asia Pacific,Singapore,96,12.76
8.222.175.78,2086,2086,false,SIN,Asia Pacific,Singapore,27,12.76
47.74.54.33,8443,8443,true,NRT,Asia Pacific,Tokyo,330,12.75
8.222.197.251,2083,2083,true,SIN,Asia Pacific,Singapore,77,12.75
47.236.194.67,2087,2087,true,SIN,Asia Pacific,Singapore,13,12.75
47.245.10.156,2096,2096,true,NRT,Asia Pacific,Tokyo,147,12.74
8.222.212.116,8080,8080,false,SIN,Asia Pacific,Singapore,5,12.74
8.219.6.187,8080,8080,false,SIN,Asia Pacific,Singapore,9,12.74
47.236.76.199,2095,2095,false,SIN,Asia Pacific,Singapore,22,12.74
47.236.163.221,2052,2052,false,SIN,Asia Pacific,Singapore,29,12.74
8.222.160.61,8443,8443,true,SIN,Asia Pacific,Singapore,59,12.74
47.74.41.136,8080,8080,false,NRT,Asia Pacific,Tokyo,87,12.74
8.219.112.75,2083,2083,true,SIN,Asia Pacific,Singapore,169,12.74
47.74.45.143,80,80,false,NRT,Asia Pacific,Tokyo,71,12.74
8.219.240.160,2095,2095,false,SIN,Asia Pacific,Singapore,44,12.74
8.222.221.86,2052,2052,false,SIN,Asia Pacific,Singapore,3,12.74
8.222.138.164,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,12.73
8.219.11.158,2082,2082,false,SIN,Asia Pacific,Singapore,23,12.73
47.236.166.184,2082,2082,false,SIN,Asia Pacific,Singapore,21,12.73
47.236.96.141,2052,2052,false,SIN,Asia Pacific,Singapore,16,12.73
8.222.229.22,2096,2096,true,SIN,Asia Pacific,Singapore,67,12.73
8.222.137.178,80,80,false,SIN,Asia Pacific,Singapore,16,12.73
8.222.222.64,8880,8880,false,SIN,Asia Pacific,Singapore,6,12.73
8.222.162.45,80,80,false,SIN,Asia Pacific,Singapore,11,12.73
47.245.37.94,2096,2096,true,NRT,Asia Pacific,Tokyo,76,12.73
8.222.162.45,2086,2086,false,SIN,Asia Pacific,Singapore,4,12.73
8.209.243.137,2096,2096,true,NRT,Asia Pacific,Tokyo,270,12.73
47.236.201.98,8443,8443,true,SIN,Asia Pacific,Singapore,52,12.72
47.74.12.139,2083,2083,true,NRT,Asia Pacific,Tokyo,192,12.72
47.245.37.37,2087,2087,true,NRT,Asia Pacific,Tokyo,304,12.72
8.219.193.22,2095,2095,false,SIN,Asia Pacific,Singapore,16,12.72
8.219.178.9,2052,2052,false,SIN,Asia Pacific,Singapore,11,12.71
47.236.92.191,8443,8443,true,SIN,Asia Pacific,Singapore,89,12.71
47.74.4.47,2086,2086,false,NRT,Asia Pacific,Tokyo,90,12.71
8.222.249.190,2095,2095,false,SIN,Asia Pacific,Singapore,5,12.70
8.219.77.222,8443,8443,true,SIN,Asia Pacific,Singapore,87,12.70
47.236.83.239,2083,2083,true,SIN,Asia Pacific,Singapore,118,12.70
8.222.129.32,2095,2095,false,SIN,Asia Pacific,Singapore,4,12.70
8.219.198.34,443,443,true,SIN,Asia Pacific,Singapore,99,12.70
8.222.212.219,2052,2052,false,SIN,Asia Pacific,Singapore,18,12.70
8.222.215.228,8080,8080,false,SIN,Asia Pacific,Singapore,4,12.70
8.222.128.131,2086,2086,false,SIN,Asia Pacific,Singapore,7,12.69
8.219.124.227,2095,2095,false,SIN,Asia Pacific,Singapore,4,12.69
47.236.172.41,2052,2052,false,SIN,Asia Pacific,Singapore,35,12.69
8.219.42.72,2082,2082,false,SIN,Asia Pacific,Singapore,32,12.69
8.219.218.21,2082,2082,false,SIN,Asia Pacific,Singapore,15,12.69
8.219.183.31,2096,2096,true,SIN,Asia Pacific,Singapore,98,12.69
8.219.250.239,2087,2087,true,SIN,Asia Pacific,Singapore,167,12.69
8.219.87.34,8443,8443,true,HKG,Asia Pacific,Hong Kong,194,12.68
47.74.26.131,2095,2095,false,NRT,Asia Pacific,Tokyo,248,12.68
47.91.16.214,2096,2096,true,NRT,Asia Pacific,Tokyo,217,12.68
47.74.26.196,8443,8443,true,HKG,Asia Pacific,Hong Kong,391,12.68
47.236.161.155,8443,8443,true,SIN,Asia Pacific,Singapore,142,12.68
47.236.79.77,2083,2083,true,SIN,Asia Pacific,Singapore,105,12.68
47.236.124.115,2096,2096,true,SIN,Asia Pacific,Singapore,99,12.68
8.219.232.219,2082,2082,false,SIN,Asia Pacific,Singapore,7,12.67
47.245.10.164,2096,2096,true,NRT,Asia Pacific,Tokyo,89,12.67
47.236.116.208,2052,2052,false,SIN,Asia Pacific,Singapore,17,12.67
8.222.224.17,80,80,false,SIN,Asia Pacific,Singapore,4,12.67
8.222.152.165,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.67
47.236.116.26,8080,8080,false,SIN,Asia Pacific,Singapore,6,12.67
8.219.40.37,2087,2087,true,SIN,Asia Pacific,Singapore,126,12.66
8.219.206.53,8880,8880,false,SIN,Asia Pacific,Singapore,58,12.66
8.219.86.200,2087,2087,true,SIN,Asia Pacific,Singapore,125,12.66
8.222.224.17,2087,2087,true,SIN,Asia Pacific,Singapore,103,12.66
8.219.185.191,2053,2053,true,SIN,Asia Pacific,Singapore,95,12.66
8.222.214.231,443,443,true,SIN,Asia Pacific,Singapore,89,12.66
47.236.78.57,2083,2083,true,SIN,Asia Pacific,Singapore,128,12.66
8.219.237.250,2095,2095,false,HKG,Asia Pacific,Hong Kong,50,12.66
8.219.40.255,2052,2052,false,SIN,Asia Pacific,Singapore,65,12.66
8.219.178.225,2095,2095,false,SIN,Asia Pacific,Singapore,6,12.65
8.218.204.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,127,12.65
47.236.123.218,2087,2087,true,SIN,Asia Pacific,Singapore,108,12.65
8.219.122.55,2095,2095,false,SIN,Asia Pacific,Singapore,6,12.64
8.217.239.116,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,12.64
47.245.90.176,80,80,false,SIN,Asia Pacific,Singapore,4,12.64
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,58,12.63
8.222.208.38,8080,8080,false,SIN,Asia Pacific,Singapore,5,12.63
8.219.247.203,2087,2087,true,SIN,Asia Pacific,Singapore,122,12.63
8.219.253.114,2053,2053,true,SIN,Asia Pacific,Singapore,55,12.63
8.219.140.229,2086,2086,false,SIN,Asia Pacific,Singapore,32,12.63
8.219.177.205,2083,2083,true,SIN,Asia Pacific,Singapore,84,12.63
8.222.160.176,2082,2082,false,SIN,Asia Pacific,Singapore,7,12.63
47.237.22.84,2086,2086,false,SIN,Asia Pacific,Singapore,24,12.63
8.219.147.58,80,80,false,SIN,Asia Pacific,Singapore,13,12.62
47.236.124.115,8443,8443,true,SIN,Asia Pacific,Singapore,110,12.62
8.219.140.63,2087,2087,true,SIN,Asia Pacific,Singapore,112,12.62
8.222.211.124,2095,2095,false,HKG,Asia Pacific,Hong Kong,57,12.61
8.219.137.50,8080,8080,false,SIN,Asia Pacific,Singapore,19,12.61
47.236.17.165,2095,2095,false,SIN,Asia Pacific,Singapore,21,12.61
47.236.145.180,2096,2096,true,SIN,Asia Pacific,Singapore,38,12.61
8.219.84.102,2087,2087,true,SIN,Asia Pacific,Singapore,157,12.61
8.219.60.130,8080,8080,false,SIN,Asia Pacific,Singapore,29,12.60
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,23,12.60
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,55,12.60
8.222.147.203,2082,2082,false,SIN,Asia Pacific,Singapore,7,12.60
8.222.244.192,2086,2086,false,SIN,Asia Pacific,Singapore,9,12.60
8.222.229.22,2053,2053,true,SIN,Asia Pacific,Singapore,57,12.59
47.236.12.73,2053,2053,true,SIN,Asia Pacific,Singapore,55,12.59
47.74.50.249,2095,2095,false,NRT,Asia Pacific,Tokyo,112,12.59
47.236.172.41,8880,8880,false,SIN,Asia Pacific,Singapore,16,12.59
8.219.163.195,2083,2083,true,SIN,Asia Pacific,Singapore,101,12.59
8.222.168.234,8080,8080,false,SIN,Asia Pacific,Singapore,4,12.59
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,116,12.58
8.222.213.221,2083,2083,true,SIN,Asia Pacific,Singapore,134,12.58
47.236.5.223,2087,2087,true,SIN,Asia Pacific,Singapore,33,12.58
8.222.238.141,2083,2083,true,SIN,Asia Pacific,Singapore,78,12.58
47.74.0.183,8080,8080,false,NRT,Asia Pacific,Tokyo,79,12.58
47.236.171.20,2096,2096,true,SIN,Asia Pacific,Singapore,53,12.58
8.219.255.171,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,12.58
47.245.37.41,2052,2052,false,NRT,Asia Pacific,Tokyo,86,12.58
8.218.11.90,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,12.57
8.219.81.50,2083,2083,true,SIN,Asia Pacific,Singapore,106,12.57
8.222.155.242,8080,8080,false,SIN,Asia Pacific,Singapore,23,12.57
47.236.116.208,8080,8080,false,SIN,Asia Pacific,Singapore,23,12.57
8.219.240.141,2086,2086,false,SIN,Asia Pacific,Singapore,19,12.56
8.222.223.34,2087,2087,true,SIN,Asia Pacific,Singapore,118,12.56
47.245.53.50,80,0,false,NRT,Asia Pacific,Tokyo,73,12.56
8.222.140.185,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.56
8.222.141.240,2083,2083,true,SIN,Asia Pacific,Singapore,87,12.56
8.219.103.57,2096,2096,true,SIN,Asia Pacific,Singapore,89,12.56
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,72,12.56
8.219.74.35,80,80,false,SIN,Asia Pacific,Singapore,9,12.55
47.74.15.120,2086,2086,false,NRT,Asia Pacific,Tokyo,88,12.55
8.219.5.10,2053,2053,true,SIN,Asia Pacific,Singapore,108,12.55
47.245.30.65,2095,2095,false,NRT,Asia Pacific,Tokyo,235,12.55
47.245.40.161,2082,2082,false,NRT,Asia Pacific,Tokyo,76,12.55
47.245.11.216,2052,2052,false,NRT,Asia Pacific,Tokyo,80,12.54
8.219.122.96,2052,2052,false,SIN,Asia Pacific,Singapore,7,12.54
8.219.103.57,8080,8080,false,SIN,Asia Pacific,Singapore,17,12.54
8.222.209.223,2086,2086,false,SIN,Asia Pacific,Singapore,30,12.54
47.245.55.99,2083,2083,true,NRT,Asia Pacific,Tokyo,110,12.54
47.74.14.85,8080,8080,false,NRT,Asia Pacific,Tokyo,342,12.54
8.219.249.38,2083,2083,true,SIN,Asia Pacific,Singapore,100,12.53
8.219.65.191,2083,2083,true,SIN,Asia Pacific,Singapore,134,12.53
47.236.7.206,2096,2096,true,SIN,Asia Pacific,Singapore,96,12.53
8.219.110.88,2087,2087,true,SIN,Asia Pacific,Singapore,81,12.53
8.219.197.111,2086,2086,false,SIN,Asia Pacific,Singapore,11,12.53
8.217.250.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,12.53
47.236.166.76,2082,2082,false,SIN,Asia Pacific,Singapore,14,12.53
8.219.61.52,8880,8880,false,SIN,Asia Pacific,Singapore,11,12.52
47.74.10.135,80,80,false,NRT,Asia Pacific,Tokyo,321,12.52
8.219.51.49,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.52
8.219.90.32,2083,2083,true,HKG,Asia Pacific,Hong Kong,130,12.52
8.222.129.32,2053,2053,true,SIN,Asia Pacific,Singapore,55,12.52
8.218.11.90,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,12.52
8.219.173.195,2083,2083,true,SIN,Asia Pacific,Singapore,69,12.51
8.222.208.38,443,443,true,SIN,Asia Pacific,Singapore,80,12.51
47.245.10.156,8080,8080,false,NRT,Asia Pacific,Tokyo,284,12.51
47.236.74.20,2082,2082,false,SIN,Asia Pacific,Singapore,18,12.51
8.219.222.8,2083,2083,true,SIN,Asia Pacific,Singapore,132,12.51
8.222.211.124,8880,8880,false,SIN,Asia Pacific,Singapore,4,12.51
47.237.5.164,2096,2096,true,SIN,Asia Pacific,Singapore,177,12.51
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,2,12.51
47.74.8.238,80,80,false,NRT,Asia Pacific,Tokyo,275,12.51
8.209.240.227,2087,2087,true,NRT,Asia Pacific,Tokyo,72,12.50
47.236.224.66,2053,2053,true,SIN,Asia Pacific,Singapore,111,12.50
47.236.106.234,8080,8080,false,SIN,Asia Pacific,Singapore,13,12.50
47.236.104.123,2082,2082,false,SIN,Asia Pacific,Singapore,5,12.50
8.219.102.252,2086,2086,false,SIN,Asia Pacific,Singapore,15,12.50
47.245.2.231,2053,2053,true,NRT,Asia Pacific,Tokyo,84,12.50
47.236.104.123,2096,2096,true,SIN,Asia Pacific,Singapore,100,12.50
47.236.106.234,8080,8080,false,SIN,Asia Pacific,Singapore,26,12.50
8.218.211.17,2086,2086,false,HKG,Asia Pacific,Hong Kong,61,12.50
8.219.72.51,2053,2053,true,SIN,Asia Pacific,Singapore,93,12.50
47.236.173.200,2087,2087,true,HKG,Asia Pacific,Hong Kong,132,12.50
8.219.122.96,443,443,true,SIN,Asia Pacific,Singapore,107,12.50
8.219.55.31,80,80,false,NRT,Asia Pacific,Tokyo,83,12.49
47.236.224.66,2087,2087,true,SIN,Asia Pacific,Singapore,142,12.49
8.209.200.73,2096,2096,true,NRT,Asia Pacific,Tokyo,78,12.49
8.219.104.242,2082,2082,false,SIN,Asia Pacific,Singapore,14,12.48
47.236.116.26,8080,8080,false,SIN,Asia Pacific,Singapore,21,12.48
47.236.114.23,2083,2083,true,SIN,Asia Pacific,Singapore,96,12.48
47.245.59.133,8080,8080,false,NRT,Asia Pacific,Tokyo,74,12.47
8.222.214.231,80,80,false,SIN,Asia Pacific,Singapore,34,12.47
8.222.130.219,2083,2083,true,SIN,Asia Pacific,Singapore,91,12.47
8.213.137.24,443,443,true,ICN,Asia Pacific,Seoul,82,12.47
47.236.163.95,2096,2096,true,SIN,Asia Pacific,Singapore,110,12.46
47.245.34.140,2086,2086,false,NRT,Asia Pacific,Tokyo,303,12.46
8.219.93.5,2095,2095,false,SIN,Asia Pacific,Singapore,14,12.46
8.219.137.50,2082,2082,false,SIN,Asia Pacific,Singapore,10,12.46
8.219.40.255,80,80,false,SIN,Asia Pacific,Singapore,11,12.46
47.245.42.162,8080,8080,false,NRT,Asia Pacific,Tokyo,79,12.45
8.222.208.83,2052,2052,false,SIN,Asia Pacific,Singapore,4,12.45
8.222.154.227,2087,2087,true,SIN,Asia Pacific,Singapore,14,12.45
47.74.26.131,80,80,false,NRT,Asia Pacific,Tokyo,85,12.45
8.219.241.189,2086,2086,false,SIN,Asia Pacific,Singapore,37,12.45
47.74.26.196,2052,2052,false,SIN,Asia Pacific,Singapore,148,12.45
8.222.140.185,2052,2052,false,SIN,Asia Pacific,Singapore,19,12.44
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,32,12.44
47.245.54.98,8080,8080,false,NRT,Asia Pacific,Tokyo,75,12.44
8.217.159.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,12.44
47.91.16.214,8443,8443,true,NRT,Asia Pacific,Tokyo,197,12.44
8.219.240.141,80,80,false,SIN,Asia Pacific,Singapore,7,12.44
8.222.137.166,2082,2082,false,SIN,Asia Pacific,Singapore,4,12.44
47.236.79.77,2087,2087,true,SIN,Asia Pacific,Singapore,114,12.44
8.218.8.142,2083,2083,true,HKG,Asia Pacific,Hong Kong,72,12.44
8.222.138.175,8080,8080,false,SIN,Asia Pacific,Singapore,7,12.44
8.222.153.11,2086,2086,false,NRT,Asia Pacific,Tokyo,94,12.43
47.74.54.33,2086,2086,false,NRT,Asia Pacific,Tokyo,71,12.43
8.222.140.87,2086,2086,false,SIN,Asia Pacific,Singapore,13,12.43
47.74.3.2,2086,2086,false,NRT,Asia Pacific,Tokyo,73,12.43
8.222.190.225,2087,2087,true,SIN,Asia Pacific,Singapore,33,12.43
